  cos(t)  v*J(Mon1) v*J(Mon2)    J*J
    -0.90000000     0.04161725     0.03832884     0.06663073
    -0.80000000     0.03978437     0.04167116     0.06075472
    -0.70000000     0.04722372     0.04770889     0.05789757
    -0.60000000     0.04727763     0.04566038     0.05654987
    -0.50000000     0.05288410     0.05126685     0.05466307
    -0.40000000     0.05320755     0.05601078     0.04652291
    -0.30000000     0.06371968     0.05493261     0.05132075
    -0.20000000     0.05924528     0.06619946     0.04808625
    -0.10000000     0.05967655     0.05978437     0.04598383
     0.00000000     0.06129380     0.05967655     0.04555256
     0.10000000     0.06231806     0.06037736     0.04555256
     0.20000000     0.06075472     0.05638814     0.04404313
     0.30000000     0.05617251     0.05552561     0.04285714
     0.40000000     0.05450135     0.05369272     0.04382749
     0.50000000     0.04652291     0.05045822     0.04301887
     0.60000000     0.04366577     0.04539084     0.04118598
     0.70000000     0.03908356     0.04210243     0.04226415
     0.80000000     0.04150943     0.03886792     0.04188679
     0.90000000     0.03541779     0.03800539     0.04404313
